DE ID, County, Name, City, 10/16/21, 10/30/21
0077-01-070, Blue Earth, Rosa Parks Elementary, Mankato, 0-4, 0-4
0075-01-010, Blue Earth, St. Clair Elementary, Saint Clair, 5-9, 0-4
0077-01-080, Blue Earth, Washington Elementary, Mankato, 5-9, 0-4
0088-01-020, Brown, Jefferson Elementary, New Ulm, 10-19, 5-9
0088-31-007, Brown, New Ulm Area Catholic Schools, New Ulm, 0-4, 20-29
0088-01-050, Brown, New Ulm High School, New Ulm, 10-19, 0-4
0088-01-040, Brown, New Ulm Middle School, New Ulm, 10-19, 10-19
6049-61-020, Brown, River Bend Area Learning Center, New Ulm, 5-9, 0-4
0084-01-010, Brown, Sleepy Eye Elementary, Sleepy Eye, 5-9, 0-4
0091-01-002, Carlton, Barnum Secondary, Barnum, 0-4, 5-9
0094-01-101, Carlton, Churchill Elementary, Cloquet, 0-4, 0-4
0094-01-201, Carlton, Cloquet Middle, Cloquet, 5-9, 0-4
0095-01-020, Carlton, Cromwell-Wright Secondary, Cromwell, 0-4, 5-9
0099-01-030, Carlton, Winterquist Elementary, Esko, 5-9, 0-4
0110-01-120, Carver, Bayview Elementary, Waconia, 5-9, 0-4
0112-01-510, Carver, Bluff Creek Elementary, Chanhassen, 0-4, 0-4
0112-01-504, Carver, Carver Elementary School, Carver, 5-9, 5-9
0108-01-040, Carver, Central Elementary, Norwood Young America, 0-4, 0-4
0112-01-506, Carver, Chanhassen Elementary, Chanhassen, 0-4, 0-4
0112-01-064, Carver, Chanhassen High School, Chanhassen, 0-4, 0-4
0112-31-020, Carver, Chapel Hill Academy, Chanhassen, 0-4, 5-9
0112-01-060, Carver, Chaska High School, Chaska, 5-9, 0-4
0112-01-061, Carver, Chaska Middle School East, Chaska, 0-4, 0-4
0112-01-062, Carver, Chaska Middle School West, Chaska, 10-19, 5-9
0112-01-511, Carver, Clover Ridge Elementary, Chaska, 0-4, 0-4
4188-07-010, Carver, Cologne Academy, Cologne, 0-4, 5-9
0112-31-021, Carver, Holy Family Catholic High School, Victoria, 0-4, 0-4
0112-01-513, Carver, Jonathan Elementary, Chaska, 0-4, 0-4
0110-01-130, Carver, Laketown Elementary, Waconia, 0-4, 5-9
0111-31-007, Carver, Mayer Lutheran High School, Mayer, 0-4, 5-9
0276-01-175, Carver, Minnetonka West Middle, Excelsior, 5-9, 0-4
0112-01-063, Carver, Pioneer Ridge Middle School, Chaska, 10-19, 5-9
0110-01-110, Carver, Southview Elementary, Waconia, 5-9, 0-4
0112-31-117, Carver, Southwest Christian High School, Chaska, 5-9, 0-4
0112-31-003, Carver, St. Hubert Catholic School, Chanhassen, 0-4, 10-19
0108-31-003, Carver, St. John's Lutheran, Young America, 0-4, 0-4
0112-01-512, Carver, Victoria Elementary, Victoria, 0-4, 0-4
0110-01-310, Carver, Waconia High School, Waconia, 5-9, 5-9
0110-01-220, Carver, Waconia Middle School, Waconia, 10-19, 5-9
0111-01-842, Carver, Watertown Mayer High, Watertown, 5-9, 0-4
0111-01-839, Carver, Watertown-Mayer Elementary School, Watertown, 5-9, 5-9
0111-01-841, Carver, Watertown-Mayer Middle, Watertown, 5-9, 0-4
4016-07-010, Carver, World Learner Charter School, Chaska, 0-4, 0-4
0115-01-010, Cass, Cass Lake-Bena Elementary, Cass Lake, 5-9, 0-4
0118-01-020, Cass, Northland Secondary, Remer, 5-9, 0-4
0116-01-010, Cass, Pillager Elementary, Pillager, 5-9, 5-9
0116-01-040, Cass, Pillager Middle School, Pillager, 5-9, 5-9
0116-01-020, Cass, Pillager Senior High School, Pillager, 5-9, 0-4
2174-01-010, Cass, Pine River-Backus Elementary, Pine River, 5-9, 0-4
0113-01-010, Cass, W.H.A. Elementary, Walker, 0-4, 0-4
0113-01-020, Cass, Walker-Hackensack-Akeley Sec0-4, Walker, 0-4, 0-4
2180-01-020, Chippewa, MACCRAY Senior High, Clara City, 5-9, 0-4
2180-01-002, Chippewa, MACCRAY West Elementary, Maynard, 5-9, 0-4
0129-01-040, Chippewa, Montevideo Senior High, Montevideo, 10-19, 0-4
0139-01-010, Chisago, C.E. Jacobson Elementary, Rush City, 10-19, 0-4
2144-01-001, Chisago, Chisago Lakes El0-4, Chisago City, 5-9, 0-4
2144-01-003, Chisago, Chisago Lakes Middle, Lindstrom, 0-4, 0-4
2144-01-004, Chisago, Chisago Lakes Senior High, Lindstrom, 5-9, 5-9
2144-01-002, Chisago, Lakeside El0-4, Chisago City, 5-9, 5-9
0138-01-020, Chisago, North Branch Middle, North Branch, 5-9, 0-4
0138-01-030, Chisago, North Branch Senior High, North Branch, 5-9, 0-4
0138-01-045, Chisago, Sunrise River Elementary, North Branch, 5-9, 5-9
0146-01-010, Clay, Barnesville Elementary, Barnesville, 5-9, 5-9
2164-01-001, Clay, Dilworth Elementary, Dilworth, 5-9, 5-9
2164-01-003, Clay, Dilworth-Glyndon-Felton Middle Sch, Dilworth, 0-4, 0-4
2164-01-004, Clay, Dilworth-Glyndon-Felton Senior High, Glyndon, 5-9, 0-4
0152-01-185, Clay, Dorothy Dodds Elementary School, Moorhead, 0-4, 0-4
2164-01-002, Clay, Glyndon-Felton Elementary, Glyndon, 0-4, 0-4
0150-01-010, Clay, Hawley Elementary, Hawley, 0-4, 0-4
0150-01-020, Clay, Hawley Secondary, Hawley, 0-4, 0-4
0152-01-380, Clay, Horizon Middle School, Moorhead, 20-29, 10-19
0152-01-382, Clay, Moorhead High School, Moorhead, 10-19, 0-4
0152-01-187, Clay, Robert Asp Elementary, Moorhead, 0-4, 0-4
0152-01-189, Clay, S.G.Reinertsen Elementary, Moorhead, 0-4, 5-9
0152-31-003, Clay, St. Joseph, Moorhead, 0-4, 0-4
0162-01-010, Clearwater, Bagley Elementary, Bagley, 5-9, 0-4
0162-01-020, Clearwater, Bagley Secondary, Bagley, 5-9, 0-4
0166-01-050, Cook, Cook County Senior High, Grand Marais, 0-4, 0-4
0173-01-010, Cottonwood, Mountain Lake Elementary, Mountain Lake, 5-9, 0-4
2898-01-030, Cottonwood, Westbrook-Walnut Grove Secondary, Westbrook, 0-4, 5-9
0181-01-022, Crow Wing, Forestview Middle, Baxter, 10-19, 10-19
0181-01-009, Crow Wing, Harrison Elementary, Brainerd, 0-4, 5-9
0192-01-621, Dakota, Akin Road Elementary, Farmington, 5-9, 0-4
0194-31-001, Dakota, All Saints School, Lakeville, 0-4, 0-4
0196-01-097, Dakota, Apple Valley Senior High, Apple Valley, 0-4, 5-9
0191-01-014, Dakota, Burnsville High School, Burnsville, 5-9, 0-4
0196-01-712, Dakota, Cedar Park Elementary, Apple Valley, 0-4, 5-9
0194-01-105, Dakota, Century Middle School, Lakeville, 5-9, 10-19
0194-01-596, Dakota, Cherry View Elementary, Lakeville, 5-9, 0-4
0200-01-612, Dakota, Christa McAuliffe Elementary, Hastings, 0-4, 0-4
0196-01-025, Dakota, Dakota Hills Middle, Eagan, 0-4, 0-4
0196-01-100, Dakota, Dakota Ridge School, Apple Valley, 5-9, 0-4
0196-01-710, Dakota, Diamond Path Elementary School of International Studies, Apple Valley, 0-4, 5-9
4221-07-010, Dakota, Discovery Charter Elementary School, Inver Grove Heights, 0-4, 0-4
0196-01-041, Dakota, Eagan Senior High, Eagan, 0-4, 0-4
0196-01-721, Dakota, East Lake Elementary School, Lakeville, 0-4, 0-4
0194-01-598, Dakota, Eastview Elementary, Lakeville, 5-9, 5-9
0196-01-714, Dakota, Echo Park Elementary, Burnsville, 5-9, 0-4
0196-31-004, Dakota, Faithful Shepherd Catholic, Eagan, 5-9, 0-4
0196-01-086, Dakota, Falcon Ridge Middle, Apple Valley, 0-4, 0-4
0192-01-010, Dakota, Farmington Elementary, Farmington, 0-4, 0-4
0192-01-020, Dakota, Farmington High School, Farmington, 5-9, 0-4
0196-31-002, Dakota, First Baptist, Rosemount, 0-4, 0-4
0200-01-129, Dakota, Hastings High School, Hastings, 10-19, 5-9
0200-01-130, Dakota, Hastings Middle School, Hastings, 5-9, 5-9
0197-01-053, Dakota, Henry Sibley High School, West Saint Paul, 0-4, 0-4
0197-01-054, Dakota, Heritage E-STEM Magnet School, West Saint Paul, 5-9, 0-4
0196-01-715, Dakota, Highland Elementary, Apple Valley, 0-4, 0-4
0194-01-592, Dakota, Huddleston Elementary, Lakeville, 5-9, 0-4
0200-01-609, Dakota, Kennedy Elementary, Hastings, 0-4, 0-4
0194-01-591, Dakota, Kennedy Elementary, Lakeville, 0-4, 0-4
0194-01-104, Dakota, Kenwood Trail Middle School, Lakeville, 5-9, 0-4
0194-01-595, Dakota, Lake Marion Elementary, Lakeville, 20-29, 0-4
0194-01-500, Dakota, Lakeville Early Childhood Program, Lakeville, 0-4, 0-4
0194-01-028, Dakota, Lakeville North High, Lakeville, 5-9, 5-9
0194-01-040, Dakota, Lakeville South High, Lakeville, 30-39, 10-19
0192-01-030, Dakota, Levi P. Dodge Middle School, Farmington, 5-9, 5-9
0006-03-735, Dakota, Lincoln Center Elementary, South Saint Paul, 5-9, 0-4
0194-01-089, Dakota, McGuire Middle, Lakeville, 0-4, 0-4
0192-01-080, Dakota, Meadowview Elementary, Farmington, 0-4, 0-4
0197-01-815, Dakota, Moreland Art/Health Science Magnet, West Saint Paul, 5-9, 0-4
0192-01-040, Dakota, North Trail Elementary, Farmington, 0-4, 0-4
0194-01-599, Dakota, Oak Hills Elementary, Lakeville, 5-9, 0-4
0196-01-709, Dakota, Parkview Elementary, Rosemount, 0-4, 10-19
0200-01-610, Dakota, Pinecrest Elementary, Hastings, 10-19, 0-4
0196-01-718, Dakota, Pinewood El0-4, Eagan, 5-9, 0-4
0196-01-765, Dakota, Red Pine Elementary, Eagan, 5-9, 5-9
0192-01-100, Dakota, Riverview Elementary, Farmington, 5-9, 0-4
0192-01-060, Dakota, Robert Boeckman Middle School, Farmington, 0-4, 0-4
0196-01-039, Dakota, Rosemount Middle, Rosemount, 0-4, 0-4
0199-01-578, Dakota, Salem Hills Elementary, Inver Grove Heights, 0-4, 0-4
0196-01-719, Dakota, Shannon Park Elementary, Rosemount, 0-4, 0-4
0199-01-026, Dakota, Simley Senior High, Inver Grove Heights, 0-4, 0-4
0197-01-819, Dakota, Somerset Elementary, Mendota Heights, 5-9, 0-4
0006-03-120, Dakota, South St. Paul High School, South Saint Paul, 0-4, 0-4
0006-03-110, Dakota, South St. Paul Middle School, South Saint Paul, 0-4, 5-9
0196-01-708, Dakota, Southview Elementary, Apple Valley, 5-9, 5-9
0197-31-004, Dakota, St. Croix Lutheran, West Saint Paul, 0-4, 0-4
0197-31-009, Dakota, St. Joseph, West Saint Paul, 0-4, 0-4
0196-31-007, Dakota, St. Joseph's Catholic, Rosemount, 10-19, 0-4
0196-01-713, Dakota, Thomas Lake Elementary, Eagan, 0-4, 0-4
0196-01-098, Dakota, Valley Middle, Apple Valley, 10-19, 10-19
0191-01-487, Dakota, William Byrne Elementary, Burnsville, 0-4, 0-4
0196-01-717, Dakota, Woodland Elementary, Eagan, 5-9, 0-4
0203-01-003, Dodge, Hayfield Elementary, Hayfield, 0-4, 0-4
0203-01-001, Dodge, HAYFIELD SECONDARY, Hayfield, 0-4, 0-4
0204-01-010, Dodge, Kasson-Mantorville Elementary, Kasson, 0-4, 0-4
0204-01-040, Dodge, Kasson-Mantorville Middle School, Kasson, 0-4, 0-4
0204-01-030, Dodge, Kasson-Mantorville Senior High, Kasson, 0-4, 0-4
2125-01-010, Dodge, Triton Elementary, Dodge Center, 0-4, 0-4
2125-01-002, Dodge, Triton Middle School, Dodge Center, 0-4, 5-9
0206-01-320, Douglas, Alexandria Area High School, Alexandria, 5-9, 10-19
0206-01-310, Douglas, Discovery Middle School, Alexandria, 5-9, 5-9
0206-01-130, Douglas, Lincoln Elementary, Alexandria, 5-9, 0-4
0213-01-010, Douglas, Osakis Elementary, Osakis, 0-4, 0-4
0206-31-082, Douglas, St. Mary's, Alexandria, 0-4, 0-4
0206-01-150, Douglas, Woodland Elementary School, Alexandria, 0-4, 5-9
2860-01-010, Faribault, Blue Earth Area Elementary, Blue Earth, 5-9, 0-4
2860-01-020, Faribault, Blue Earth Area Secondary, Blue Earth, 10-19, 0-4
2134-01-020, Faribault, United South Central High School, Wells, 5-9, 0-4
2198-01-010, Fillmore, Fillmore Central Elementary, Preston, 5-9, 5-9
2198-01-456, Fillmore, Fillmore Central Senior High, Harmony, 10-19, 5-9
2137-01-015, Fillmore, Kingsland Elementary School, Spring Valley, 5-9, 5-9
2137-01-025, Fillmore, Kingsland Junior & Senior High School, Spring Valley, 10-19, 0-4
0229-01-010, Fillmore, Lanesboro Elementary, Lanesboro, 0-4, 5-9
0239-01-001, Fillmore, Rushford-Peterson Elementary, Rushford, 5-9, 0-4
0241-01-310, Freeborn, Albert Lea Senior High, Albert Lea, 5-9, 0-4
0241-01-320, Freeborn, Southwest Middle, Albert Lea, 5-9, 0-4
0252-01-001, Goodhue, Cannon Falls Elementary, Cannon Falls, 0-4, 5-9
0252-01-002, Goodhue, Cannon Falls Secondary, Cannon Falls, 10-19, 5-9
0253-01-001, Goodhue, Goodhue Elementary, Goodhue, 0-4, 0-4
0255-01-010, Goodhue, Pine Island Elementary, Pine Island, 5-9, 10-19
0255-01-050, Goodhue, Pine Island High School ALP, PINE ISLAND, 5-9, 5-9
0255-01-015, Goodhue, Pine Island Middle, Pine Island, 10-19, 10-19
0256-01-108, Goodhue, Red Wing Senior High, Red Wing, 0-4, 5-9
0256-01-541, Goodhue, Sunnyside Elementary, Red Wing, 0-4, 5-9
0256-01-109, Goodhue, Twin Bluff School, Red Wing, 0-4, 10-19
2805-01-030, Goodhue, Zumbrota-Mazeppa Primary School, Zumbrota, 10-19, 0-4
2805-01-002, Goodhue, Zumbrota-Mazeppa Senior High, Zumbrota, 0-4, 0-4
4220-07-010, Hennepin, Agamim Classical Academy, Edina, 5-9, 0-4
0001-03-225, Hennepin, Anishinabe Academy, Minneapolis, 0-4, 5-9
0001-33-011, Hennepin, Annunciation, Minneapolis, 0-4, 5-9
0001-03-300, Hennepin, Anthony Middle School, Minneapolis, 5-9, 0-4
0283-01-745, Hennepin, Aquila Elementary, Saint Louis Park, 5-9, 5-9
0273-31-001, Hennepin, Avail Academy, Edina, 0-4, 10-19
0279-31-007, Hennepin, Ave Maria Academy, Maple Grove, 5-9, 0-4
0279-01-670, Hennepin, Basswood Elementary, Maple Grove, 0-4, 5-9
0001-03-107, Hennepin, Bethune Elementary, Minneapolis, 0-4, 0-4
0279-01-671, Hennepin, Birch Grove School For The Arts, Brooklyn Park, 0-4, 5-9
0271-31-021, Hennepin, Bloomington Lutheran, Bloomington, 0-4, 0-4
0270-31-003, Hennepin, Breck, Golden Valley, 0-4, 5-9
0286-01-011, Hennepin, Brooklyn Center Middle School, Brooklyn Center, 0-4, 5-9
0279-01-033, Hennepin, Brooklyn Middle School, Brooklyn Park, 0-4, 0-4
0001-03-110, Hennepin, Burroughs Elementary, Minneapolis, 5-9, 0-4
0279-01-682, Hennepin, Cedar Island Elementary, Maple Grove, 0-4, 0-4
0272-01-065, Hennepin, Central Middle School, Eden Prairie, 5-9, 10-19
0011-01-192, Hennepin, Champlin Park High School, Champlin, 5-9, 10-19
0011-01-430, Hennepin, Champlin/Brooklyn Park Academy for Math and Environmental Science, Champlin, 0-4, 0-4
0276-01-601, Hennepin, Clear Springs Elementary, Minnetonka, 0-4, 0-4
0273-01-526, Hennepin, Concord Elementary, Edina, 0-4, 0-4
0273-01-527, Hennepin, Cornelia Elementary, Edina, 0-4, 5-9
0273-01-532, Hennepin, Creek Valley Elementary, Edina, 10-19, 0-4
0276-01-602, Hennepin, Deephaven Elementary, Wayzata, 0-4, 0-4
0272-01-886, Hennepin, Eagle Heights Spanish Immersion, Eden Prairie, 10-19, 0-4
4122-07-010, Hennepin, Eagle Ridge Academy Charter School, Minnetonka, 10-19, 5-9
4122-07-020, Hennepin, Eagle Ridge Academy Lower School, Minnetonka, 10-19, 5-9
0272-01-064, Hennepin, Eden Prairie Senior High, Eden Prairie, 5-9, 5-9
0273-01-021, Hennepin, Edina Senior High, Edina, 5-9, 0-4
0279-01-668, Hennepin, Edinbrook Elementary, Brooklyn Park, 0-4, 5-9
0276-01-603, Hennepin, Excelsior Elementary, Excelsior, 0-4, 0-4
0279-01-689, Hennepin, Fernbrook Elementary, Maple Grove, 0-4, 5-9
0001-03-119, Hennepin, Field Community, Minneapolis, 0-4, 0-4
0272-01-882, Hennepin, Forest Hills Elementary, Eden Prairie, 5-9, 5-9
0270-01-569, Hennepin, Gatewood Elementary, Minnetonka, 0-4, 0-4
0270-01-563, Hennepin, Glen Lake Elementary, Minnetonka, 5-9, 0-4
0277-01-063, Hennepin, Grandview Middle School, Mound, 5-9, 0-4
0001-03-256, Hennepin, Green Central Park Elementary, Minneapolis, 0-4, 0-4
0284-01-806, Hennepin, Greenwood Elementary, Plymouth, 10-19, 5-9
0276-01-604, Hennepin, Groveland Elementary, Minnetonka, 0-4, 5-9
0728-01-160, Hennepin, Hassan Elementary, Rogers, 5-9, 0-4
0277-01-616, Hennepin, Hilltop Primary School, Minnetrista, 0-4, 0-4
0278-31-001, Hennepin, Holy Name of Jesus, Wayzata, 0-4, 5-9
0270-01-380, Hennepin, Hopkins West Junior High, Minnetonka, 0-4, 0-4
4167-07-010, Hennepin, International Spanish Language Academy, Minnetonka, 5-9, 5-9
0011-01-006, Hennepin, Jackson Middle, Champlin, 0-4, 5-9
0271-01-009, Hennepin, Jefferson Senior High, Bloomington, 0-4, 0-4
0001-03-323, Hennepin, Justice Page Middle School, Minneapolis, 5-9, 0-4
0271-01-007, Hennepin, Kennedy Senior High, Bloomington, 5-9, 0-4
0270-01-567, Hennepin, L.H. Tanglen Elementary, Minnetonka, 0-4, 0-4
0001-33-017, Hennepin, Lake Country School, Minneapolis, 0-4, 0-4
0001-03-121, Hennepin, Lake Harriet Upper School, Minneapolis, 0-4, 0-4
0279-01-094, Hennepin, Maple Grove Middle School, Maple Grove, 5-9, 5-9
0279-01-090, Hennepin, Maple Grove Senior High, Maple Grove, 0-4, 0-4
0284-01-803, Hennepin, Meadow Ridge Elementary School, Plymouth, 0-4, 0-4
0270-01-570, Hennepin, Meadowbrook Elementary, Golden Valley, 0-4, 0-4
0001-33-059, Hennepin, Minnehaha Academy Mid & Lower Schools, Minneapolis, 0-4, 0-4
4230-07-010, Hennepin, Minnesota Excellence in Learning Academy, Maple Grove, 5-9, 0-4
0270-31-008, Hennepin, Minnetonka Christian Academy, Minnetonka, 5-9, 0-4
0276-01-075, Hennepin, Minnetonka East Middle, Minnetonka, 5-9, 0-4
0276-01-074, Hennepin, Minnetonka Senior High, Minnetonka, 5-9, 0-4
0276-01-605, Hennepin, Minnewashta Elementary, Excelsior, 5-9, 5-9
0011-01-413, Hennepin, Monroe Elementary, Brooklyn Park, 0-4, 5-9
0277-01-062, Hennepin, Mound Westonka High School, Minnetrista, 0-4, 0-4
0281-01-017, Hennepin, Noble Elementary, Golden Valley, 0-4, 0-4
0273-01-533, Hennepin, Normandale Elementary, Edina, 0-4, 0-4
0271-01-450, Hennepin, Normandale Hills Elementary, Bloomington, 5-9, 0-4
0284-01-802, Hennepin, North Woods Elementary School, Plymouth, 5-9, 5-9
0272-01-880, Hennepin, Oak Point Elementary, Eden Prairie, 10-19, 0-4
0278-01-662, Hennepin, Orono Intermediate Elementary, Long Lake, 5-9, 0-4
0278-01-031, Hennepin, Orono Middle, Long Lake, 0-4, 5-9
0278-01-030, Hennepin, Orono Senior High, Long Lake, 0-4, 0-4
0279-01-034, Hennepin, Osseo Middle School, Osseo, 10-19, 5-9
0279-01-032, Hennepin, Osseo Senior High, Osseo, 5-9, 5-9
0273-31-007, Hennepin, Our Lady of Grace, Edina, 10-19, 10-19
0011-01-425, Hennepin, Oxbow Creek Elementary, Champlin, 5-9, 0-4
0279-01-088, Hennepin, Park Center IB World School, Brooklyn Park, 0-4, 0-4
4199-07-030, Hennepin, Parnassus Preparatory School ESY, Maple Grove, 5-9, 0-4
4097-07-010, Hennepin, Partnership Academy, Richfield, 0-4, 5-9
0283-01-754, Hennepin, Peter Hobart Elementary, Saint Louis Park, 0-4, 5-9
0001-03-155, Hennepin, Pillsbury Elementary, Minneapolis, 0-4, 0-4
0281-01-040, Hennepin, Plymouth Middle, Plymouth, 5-9, 0-4
0272-01-881, Hennepin, Prairie View Elementary, Eden Prairie, 5-9, 0-4
0001-03-156, Hennepin, Pratt Elementary, Minneapolis, 5-9, 0-4
0284-31-010, Hennepin, Providence Academy, Plymouth, 5-9, 0-4
0279-01-685, Hennepin, Rice Lake Elementary, Maple Grove, 0-4, 5-9
0280-01-705, Hennepin, Richfield Dual Language School, Richfield, 10-19, 0-4
0280-01-037, Hennepin, Richfield Middle, Richfield, 5-9, 0-4
0280-01-036, Hennepin, Richfield STEM School, Richfield, 10-19, 5-9
0001-33-015, Hennepin, Risen Christ, Minneapolis, 0-4, 5-9
0281-01-053, Hennepin, Robbinsdale Armstrong Senior High, Plymouth, 5-9, 0-4
0281-01-050, Hennepin, Robbinsdale Cooper Senior High, New Hope, 5-9, 5-9
0281-01-012, Hennepin, Robbinsdale Spanish Immersion El0-4, New Hope, 5-9, 0-4
0883-01-002, Hennepin, Rockford Elementary Arts Magnet Sch, Rockford, 0-4, 0-4
0728-01-070, Hennepin, Rogers Elementary, Rogers, 0-4, 0-4
0728-01-340, Hennepin, Rogers Middle School, Rogers, 5-9, 0-4
0728-01-510, Hennepin, Rogers Senior High, Rogers, 10-19, 0-4
0279-01-669, Hennepin, Rush Creek Elementary, Maple Grove, 10-19, 0-4
0001-03-324, Hennepin, Sanford Middle, Minneapolis, 5-9, 0-4
0276-01-606, Hennepin, Scenic Heights Elementary, Minnetonka, 0-4, 5-9
0278-01-661, Hennepin, Schumann Elementary, Long Lake, 0-4, 0-4
4159-07-010, Hennepin, Seven Hills Preparatory Academy, Bloomington, 5-9, 5-9
0001-03-160, Hennepin, Seward Elementary, Minneapolis, 5-9, 0-4
0001-03-161, Hennepin, Sheridan Elementary, Minneapolis, 5-9, 0-4
0277-01-615, Hennepin, Shirley Hills Primary School, Mound, 0-4, 0-4
0001-03-362, Hennepin, South Senior High, Minneapolis, 5-9, 0-4
